district,year,total_exp_lakh,total_wages_lakh,person_days,avg_wage_daily,avg_days_per_hh,total_hh_worked,total_individuals,hh_100days,active_jobcards,total_jobcards,sc_persondays,st_persondays,women_persondays,works_completed,works_ongoing,pct_agri_works,pct_nrm_works,pct_timely_payment,labour_budget,log_wage,log_exp_lakh,log_person_days,exp_per_hh,log_exp_per_hh,sc_share,st_share,women_share,budget_utilisation,high_spend,time,district_id
dinajpur uttar,2024,23900.0328,0.0,0,,0.0,0,0,0,187051,509977,0,0,0,0,84348,11.711711711711711,0.0,0.0,0,,10.081676950375051,0.0,,,0.0,0.0,0.0,,0,6,8
hooghly,2018,546461.1317485166,369615.2005632991,32869096,145.7827701628776,48.166666666666664,418824,641788,128287,585751,740056,100556650,22375373,96537473,471056,68697,39.931666666666665,63.73333333333333,106.21166666666666,25843659,4.982117638125545,13.211220291880462,17.308043473404204,130475.12361959118,11.778945528236106,3.0593068333853783,0.6807419650360935,2.9370285389047512,1.271843743178936,1,0,9
hooghly,2019,197927.116274805,91775.17759805999,17751110,154.79000977462061,27.25,439995,613774,17673,599178,749656,29207994,5627965,26640105,274119,49596,38.733333333333334,28.938333333333333,107.26916666666666,18901000,5.042069422733407,12.195659194641241,16.691958663476225,44983.94669821362,10.714083194971415,1.6454178921768836,0.3170486240015413,1.5007571357509475,0.9391624781757579,1,1,9
hooghly,2020,658931.4564612836,529062.4458495305,40377512,199.59637263215367,40.166666666666664,652443,965567,95523,702041,878229,120347765,22533743,115976719,218484,55368,48.22833333333333,77.48083333333334,106.425,40381549,5.2962971905266265,13.39837631424283,17.51378357905624,100994.4863323361,11.522831105045928,2.980564156602814,0.558076560041639,2.872309690602036,0.9999000285996954,1,2,9
hooghly,2021,596323.8551173653,410990.1012615994,29081681,173.33189336432017,30.75,675356,927934,28970,745463,903892,87152497,15998319,91160641,229326,51819,40.10916666666667,66.78333333333335,100.25333333333333,26778619,5.155208215359318,13.298540856478581,17.185619049397065,88297.70596801765,11.388480731535829,2.996817721781626,0.5501167212445526,3.1346413916031883,1.086003762927431,1,3,9
hooghly,2022,40744.1294312,31622.1881112,1460695,191.90050748586836,15.333333333333334,87913,106145,39,739112,840776,6713259,1051014,7723646,45208,37824,37.560833333333335,49.535,102.07249999999999,0,5.256977047543082,10.61509158836481,14.194423592422062,46345.96638858872,10.743911118767665,4.595934811853262,0.7195300867053013,5.287651426204649,,0,4,9
hooghly,2023,8077.62099,6.3765,15,,13.75,1,1,0,730190,839472,0,0,165,102,32928,28.47083333333333,2.7241666666666666,91.66666666666667,0,,8.99697646739498,2.772588722239781,807762099.0,20.509778142439075,0.0,0.0,11.0,,1,5,9
hooghly,2024,64229.08128,0.0,0,,0.0,0,0,0,669811,839738,0,0,0,0,32921,0.0,0.0,0.0,0,,11.07022693570332,0.0,,,0.0,0.0,0.0,,1,6,9
howrah,2018,169111.62266090483,86561.4835898,7840387,157.73973041608508,46.916666666666664,98296,131567,36881,178834,262111,11217572,198221,22818042,273788,38977,48.696666666666665,46.585,117.195,5487600,5.060946398928731,12.038320178232691,15.874798880897929,172043.2394613258,12.055506928894253,1.4307421304586112,0.025282042837936444,2.910320880844275,1.428746082075953,0,0,10
howrah,2019,90606.60331406703,45604.33734580001,5351433,167.94662871619278,30.166666666666668,105000,126359,7608,201443,286222,5145743,92692,13814379,191197,33068,57.074999999999996,42.76416666666666,108.52166666666666,6268000,5.123646242717165,11.414293410298654,15.492875120339765,86292.00315625433,11.36550379795914,0.9615635662447797,0.017320968047250147,2.5814354771890073,0.8537704211869815,0,1,10
