fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,Feb,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,16099471,179.871744104544,79,1836,8579.38952990498,66421,0,75017,20319040,5561134,365743,2429769,214775,1134.56533,46262.166493205,255224,475146,553010,1468574,96674,740959,1881652,141438,36548.2116333,9129074,64,66.2,67.16,132.2,NA
2018-2019,Feb,32,WEST BENGAL,3213,BANKURA,13835861,154.08233205992,75,2677,5058.1263049168,40094,0,36953,15518392,7349777,569345,2074618,169989,1035.21546,30004.4420567169,206347,428340,426852,1238284,63850,604885,1665166,77047,23911.1002918001,7483127,79,78.22,76.56,106.45,NA
2018-2019,Feb,32,WEST BENGAL,3216,24 PARGANAS SOUTH,27025052,153.280508499178,89,2886,14914.814305065,133265,0,170946,30596465,6784597,346097,324966,14700,1429.92169,63243.153129838,340981,583827,706808,1601637,155371,1063879,2296695,304211,46898.417134773,13017097,76,55.17,55.15,213.07,NA
2018-2019,Feb,32,WEST BENGAL,3218,DINAJPUR UTTAR,5652174,177.04072793391,60,1475,5165.837673438,36844,0,47018,7476132,1987540,175634,264603,23879,428.6519,18830.288087538,124468,203565,247786,608726,12646,474279,1105887,83862,13235.7985141,3692867,74,71.01,67.06,144.04,NA
2018-2019,Feb,32,WEST BENGAL,3220,ALIPURDUAR,12761989,177.245506991288,80,488,5519.83692442216,26159,1,35274,13538852,3835696,182041,2941749,153309,409.44268,29926.2864726222,167743,292249,258098,677371,52030,309463,790085,61433,23997.0068682001,6918266,57,56.46,67.59,132.64,NA
2018-2019,Feb,32,WEST BENGAL,3222,JHARGRAM,4341084,174.119155973937,45,699,4371.93258847862,23650,0,38104,4913853,1123111,110094,1719904,157739,462.80134,13390.6932978786,107912,167217,180052,494811,5751,241088,637191,61754,8555.9593694,2102670,71,65.41,45.62,132.75,NA
2018-2019,Aug,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,1021598,147.739523853115,27,670,651.201425709,3473,0,7253,1339280,762264,126324,183127,31296,158.8487,2788.696020769,47908,70657,91548,238233,337,133679,330820,10726,1978.64589506,687745,59,49.9,66,118.4,NA
2018-2019,Aug,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,246935,177.002098229898,31,31,805.117466914,1378,0,3767,268798,129771,79552,67754,44085,53.86323,1334.758796914,8642,9321,70263,165639,12,97789,219725,5145,475.7781,161424,78,32.79,24.89,106.87,NA
2018-2019,Aug,32,WEST BENGAL,3209,MALDAH,2360020,137.521994998231,50,8650,12294.993336519,20363,0,72144,4802701,1240633,223056,389826,72103,313.51373,19213.277295519,95202,138679,379845,895743,5084,660857,1438585,92507,6604.770229,2275779,70,58.61,67.56,113.2,NA
2018-2019,Nov,32,WEST BENGAL,3208,COOCHBEHAR,9338613,149.684203160841,50,2079,12060.4683186731,62015,0,91402,12585319,7099225,677928,81093,9819,544.28078,31442.9835590731,248583,370536,530585,1208158,8150,632586,1413422,153417,18838.2344604,7668540,76,61.47,69.85,121.21,NA
2018-2019,Nov,32,WEST BENGAL,3209,MALDAH,5106160,131.935114765482,60,12840,12841.114570229,24285,0,76354,7957837,1935373,223269,624749,72132,518.10834,23858.404289029,130770,203683,381188,898204,15827,670048,1453553,100639,10499.1813788,3736043,70,60.67,70.08,121.61,NA
2018-2019,Nov,32,WEST BENGAL,3211,PURBA MEDINIPUR,10306220,158.088042328293,53,4056,18105.5996190078,66222,0,268254,17721480,2632672,243107,84373,8424,887.38731,47008.5277326078,331662,551685,579220,1625731,22463,784721,2123250,334476,28015.5408036,9568912,73,62.87,57.33,151.38,NA
2018-2019,Nov,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),2125558,174.173967831047,54,264,4281.123811283,2257,0,5345,4272629,311086,17810,1422431,78171,309.32419,12032.255461283,78538,98645,98694,234417,4009,122956,274904,7602,7441.80746,2130708,5,19.92,41.47,118.79,NA
2018-2019,Nov,32,WEST BENGAL,3220,ALIPURDUAR,8587083,137.929575170437,58,434,4958.96596263617,18098,0,40098,9564824,2695729,182208,2068011,153571,298.20084,18449.8879116362,162724,261242,258184,678099,11793,308378,788833,58196,13192.721109,4883497,60,59.87,65.33,128.83,NA
2018-2019,Sep,32,WEST BENGAL,3209,MALDAH,2993388,137.593953796984,53,9351,12841.114570229,21561,0,73713,5408305,1379800,223123,439952,72107,389.79547,20672.410723129,101526,149599,380437,896702,6748,664547,1444576,95274,7441.5006829,2565512,70,58.82,68.24,116.78,NA
2018-2019,Sep,32,WEST BENGAL,3215,24 PARGANAS (NORTH),4509459,126.949738171396,40,875,7458.7144691391,40364,1,98016,8053818,2666566,328495,480536,54476,522.24465,18205.2599829399,201252,255761,433883,995137,8882,721256,1589601,138380,10224.3008638008,4848908,55,59.99,46.87,142.48,NA
2018-2019,Sep,32,WEST BENGAL,3218,DINAJPUR UTTAR,2543478,139.47447910771,33,670,4675.40674221699,18494,0,52810,1970033,541263,175183,82416,23769,220.94984,7644.04984721699,58357,80672,246292,606184,473,465379,1089280,71304,2747.693265,977536,76,54.34,35.81,147.31,NA
2018-2019,Sep,32,WEST BENGAL,3221,KALIMPONG,1419358,137.355329765567,47,284,2141.598711001,972,0,1720,1437127,83433,7928,482116,39665,0,4115.569241001,30310,43724,45022,117258,1137,51920,131417,2692,1973.97053,747620,6,7.76,17.34,144.2,NA
